I | 2016-10-13 18:27:07,701 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [d2a0bb6e8a1adcc3] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:27:07,702 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [d2a0bb6e8a1adcc3] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:27:07,703 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [d2a0bb6e8a1adcc3] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?) ~ executeQuery(:71) 
I | 2016-10-13 18:27:07,704 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [d2a0bb6e8a1adcc3] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:27:07,705 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [d2a0bb6e8a1adcc3] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:27:07,706 i.getquill.FinagleMysqlContext [finagle/netty3-3] - [d2a0bb6e8a1adcc3] SELECT d.id, d.resource_dbp, d.category_dbp, d.category_type FROM dbpedia_resource_category d WHERE d.resource_dbp IN (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) ~ executeQuery(:71) 
I | 2016-10-13 18:27:07,792 i.getquill.FinagleMysqlContext [finagle/netty3-1] - [d2a0bb6e8a1adcc3] SELECT t.id, t.entity_name, t.aliases, t.n_status, t.entity_type FROM tbl_entity_tagged t WHERE t.entity_name IN (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) ~ executeQuery(:71) 
D | 2016-10-13 18:27:07,833 c.t.f.http.request.MediaRange$ [finagle/netty3-1] - [d2a0bb6e8a1adcc3] Reached the last media range : 'application/json' ~ debug(:86) 
I | 2016-10-13 18:37:28,401  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] Process started ~ info(:128) 
I | 2016-10-13 18:37:29,315 .c.b.e.m.TypesafeConfigModule$ [run-main-0] - [                ] LOADING CONFIG FROM: dev ~ info(:128) 
I | 2016-10-13 18:37:30,284  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] Resolving Finagle clients before warmup ~ info(:128) 
I | 2016-10-13 18:37:30,288  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] Done resolving clients: [10.2.15.1:3306]. ~ info(:128) 
I | 2016-10-13 18:37:30,289  c.t.s.i.FinagleBuildRevision$ [run-main-0] - [                ] Resolved Finagle build revision: (rev=56e7cf55b5174fbb3e481e73984ea62a3a3c63da) ~ info(:128) 
I | 2016-10-13 18:37:30,400 i.getquill.FinagleMysqlContext [run-main-0] - [                ] SELECT x3.id, x3.keyword, x3.n_status, x3.created FROM tbl_stopword x3 WHERE x3.n_status = 1 ~ executeQuery(:71) 
I | 2016-10-13 18:37:30,869 i.getquill.FinagleMysqlContext [run-main-0] - [                ] SELECT x.id, x.keyword, x.alternate_id FROM tbl_synonym_keyword x ~ executeQuery(:71) 
I | 2016-10-13 18:37:30,912 i.getquill.FinagleMysqlContext [run-main-0] - [                ] SELECT x3.id, x3.keyword, x3.location_type, x3.n_status FROM tbl_entity_geoname x3 WHERE x3.n_status = 1 ~ executeQuery(:71) 
D | 2016-10-13 18:37:30,991   c.t.f.h.m.MessageBodyModule$ [run-main-0] - [                ] Configuring MessageBodyManager ~ debug(:86) 
I | 2016-10-13 18:37:31,006  i.c.b.e.server.ApiServerMain$ [run-main-0] - [                ] Warming up. ~ info(:128) 
I | 2016-10-13 18:37:31,208  c.t.f.http.routing.HttpRouter [run-main-0] - [                ] Adding routes
POST    /v1/entity/extract
POST    /v1/entity/extract/:aid ~ info(:128) 
